location,sqft,bhk,bath,age,price
Aurangabad,748,4,4,6,5727446
Solapur,875,2,3,20,5372451
Pune,707,3,2,4,7775700
Nagpur,781,5,4,18,5724070
Nagpur,1845,2,3,0,11458621
Nashik,1032,5,5,25,7974486
Mumbai,3207,1,1,0,46617922
Nagpur,2911,3,2,5,17755979
Pune,1019,4,5,3,11500843
Mumbai,2450,4,4,16,37698251
Mumbai,2351,5,4,30,36381793
Pune,3478,5,5,14,33943095
Pune,749,4,4,13,8662612
Mumbai,2508,4,3,28,37642757
Aurangabad,2991,2,1,4,18926612
Aurangabad,2060,5,5,9,14292627
Kolhapur,906,1,2,20,5644938
Nagpur,2261,4,3,13,14199047
Solapur,2133,4,5,3,12985440
Kolhapur,1780,3,3,30,11076426
Solapur,774,1,1,2,4574777
Mumbai,3549,3,2,17,52111147
Aurangabad,3244,1,1,11,20356280
Kolhapur,3453,1,1,19,20672553
Aurangabad,924,5,5,6,7163823
Solapur,1418,1,1,27,7879343
Aurangabad,970,3,4,7,7007478
Pune,2994,3,2,5,28413672
Thane,1891,3,2,5,23574805
Kolhapur,785,2,3,20,4970373
Mumbai,3556,5,4,12,54104913
Solapur,1896,2,2,9,11133974
Aurangabad,3681,5,5,2,24191757
Nashik,1144,5,4,21,8613772
Thane,2314,4,4,19,29112558
Kolhapur,1618,2,3,3,10351209
Kolhapur,954,3,4,21,6584093
Solapur,2658,3,2,7,15410931
Pune,531,2,2,30,5092847
Nashik,3630,3,3,10,24357906
Pune,2537,4,3,4,24822038
Nagpur,2549,5,5,25,16134835
Mumbai,2126,1,1,0,31212843
Mumbai,1782,5,5,18,28750634
Kolhapur,1685,1,1,0,10368572
Nashik,3782,5,5,26,26104554
Aurangabad,860,4,3,7,6474169
Kolhapur,2646,1,1,27,15735153
Aurangabad,1407,3,2,2,9629865
Mumbai,2673,5,4,28,40913073
Aurangabad,3479,2,1,3,21886853
Thane,1308,2,3,4,16834171
Mumbai,1225,4,4,24,19901059
Solapur,3289,5,5,20,19531654
Aurangabad,3069,3,2,14,19489876
Solapur,2311,3,3,18,13260725
Aurangabad,2578,1,1,14,16089083
Pune,733,3,3,2,8236289
Mumbai,3019,5,5,12,46668294
Pune,2342,5,5,6,23604772
Solapur,2553,2,1,14,14291089
Aurangabad,3425,1,2,20,21182345
Pune,1514,4,4,16,15475469
Nashik,1990,3,3,12,13819312
Aurangabad,3280,5,4,25,21596016
Aurangabad,769,3,2,17,5564491
Kolhapur,1663,3,4,27,10774368
Nashik,1865,1,2,21,12131649
Aurangabad,1770,4,3,19,12065633
Mumbai,1768,5,5,20,28444616
Nashik,3244,5,4,20,22587512
Kolhapur,2582,3,2,11,16124494
Nashik,1377,3,3,6,9829273
Nashik,1134,1,1,27,7169026
Pune,3211,3,4,4,30859228
Kolhapur,1131,2,1,26,7119830
Nashik,3453,4,3,13,23540497
Nagpur,2319,5,5,24,15009598
Solapur,1458,5,4,9,9389099
Nagpur,2006,5,5,14,13068829
Kolhapur,2559,5,5,30,16383785
Nagpur,3781,5,4,27,23170423
Pune,3126,4,4,17,29903385
Mumbai,1667,1,1,8,24379672
Nashik,3903,4,3,30,26135911
Solapur,1931,1,1,1,10961381
Aurangabad,1465,4,3,11,10042347
Pune,1805,1,2,20,16611287
Nashik,1063,1,1,29,6872202
Nashik,3608,4,4,19,24369753
Mumbai,577,3,2,26,9361491
Kolhapur,955,3,2,9,6324583
Pune,1476,4,5,25,15133131
Solapur,757,1,1,19,4318721
Pune,3088,5,5,7,30580523
Nashik,1693,4,3,19,12004477
Nagpur,2837,4,3,21,17633287
Mumbai,2644,3,2,30,38985006
Pune,2099,4,3,20,20503737
Aurangabad,1538,1,1,25,9308820
Aurangabad,1487,1,2,23,9478692
Aurangabad,1046,1,1,17,6526796
Nashik,3901,4,5,15,26762711
Nashik,3823,2,1,22,25159455
Pune,1701,2,1,25,15698678
Pune,1792,3,4,12,17749904
Solapur,1537,1,2,6,8747929
Aurangabad,3698,1,2,10,23063394
Mumbai,3774,3,3,28,55363926
Solapur,2083,3,2,15,12287668
Solapur,2004,5,5,25,12084162
Kolhapur,823,4,5,26,5837351
Thane,1815,1,1,10,21742012
Thane,1755,4,5,22,22662907
Nashik,3325,4,4,14,22624706
Aurangabad,3018,4,4,20,19511222
Mumbai,3249,4,4,16,49205862
Nashik,627,2,3,21,4590228
Pune,1017,1,1,24,9378951
Aurangabad,1983,4,5,1,13773018
Nashik,3281,4,4,11,22594252
Mumbai,2850,2,3,11,42160684
Aurangabad,3160,3,2,30,19847479
Pune,3513,2,2,16,32615191
Mumbai,1572,3,4,14,24460096
Thane,3342,4,3,3,41231560
Mumbai,2351,2,3,14,34763327
Aurangabad,3235,3,4,2,21128481
Thane,1728,2,3,22,21230716
Nashik,3750,3,4,7,25283628
Nagpur,3744,2,1,25,22163909
Pune,1978,5,5,11,20263855
Nashik,3006,1,1,9,19762750
Solapur,2653,4,4,26,15617738
Mumbai,1013,3,4,2,16985816
Solapur,3285,5,5,4,19675166
Nashik,3644,2,2,16,23975052
Mumbai,2622,2,2,5,38754517
Aurangabad,3405,2,2,30,21335426
Thane,3964,1,1,6,46979752
Thane,1012,3,4,17,13300383
Nashik,2924,5,4,5,20726365
Aurangabad,3951,5,4,26,25409300
Mumbai,686,5,5,20,12910324
Kolhapur,3031,1,1,28,18189794
Thane,3129,3,3,7,38469432
Kolhapur,1718,4,3,22,10997451
Nashik,2300,4,4,14,16046966
Aurangabad,2984,2,2,27,18883079
Aurangabad,3507,3,3,4,22795032
Aurangabad,2609,5,4,10,17462315
Solapur,1001,3,3,7,6207635
Mumbai,707,3,3,27,11651735
Kolhapur,1516,2,2,29,9412354
Aurangabad,1277,2,2,16,8367220
Solapur,1763,4,3,2,10826247
Solapur,1486,2,3,11,8575410
Pune,1652,4,5,28,16688219
Solapur,1670,5,4,27,10141359
Kolhapur,1048,3,4,11,7184661
Aurangabad,685,4,3,18,5302928
Nagpur,1984,5,5,2,13156958
Solapur,3630,5,5,26,21338508
Mumbai,1027,1,1,11,15070878
Aurangabad,3592,2,1,19,22546776
Kolhapur,2548,1,1,1,15417086
Aurangabad,3793,4,5,14,24525362
Nashik,1843,5,5,5,13660521
Thane,2931,3,4,26,35727936
Solapur,3402,5,5,15,19901022
Aurangabad,1856,1,1,18,11498111
Pune,2944,4,4,30,28264118
Nagpur,3454,1,2,15,20297797
Kolhapur,1105,2,1,18,7078774
Mumbai,1281,1,1,10,18777861
Nashik,2191,2,2,16,14822090
Solapur,3974,1,2,4,22359789
Nagpur,2797,3,4,15,17270451
Kolhapur,1785,2,2,29,10997612
Aurangabad,2737,3,4,24,17829447
Thane,2998,4,3,30,36535847
Thane,2785,3,2,30,33440535
Thane,3387,2,3,22,40530278
Aurangabad,2465,3,4,29,16078984
Thane,1678,1,2,21,19960388
Kolhapur,2116,3,2,9,13225534
Thane,3425,1,1,29,39951432
Thane,3561,4,3,6,43924069
Thane,2802,3,2,3,34535192
Nagpur,1493,1,2,28,8839468
Nagpur,3113,2,1,3,18727238
Aurangabad,3438,4,3,21,22037472
Pune,2754,2,2,20,25670803
Solapur,3164,2,2,10,17898239
Pune,3648,1,2,18,33370549
Pune,1217,4,3,29,12104752
Kolhapur,3727,4,3,29,23275953
Thane,653,1,1,18,7900131
Mumbai,1872,3,3,20,28504445
Solapur,1049,5,5,8,7082313
Mumbai,1854,2,3,14,27950088
Thane,3443,2,1,23,40718843
Thane,2825,2,1,19,33754376
Kolhapur,3887,4,5,10,24331735
Kolhapur,3241,1,1,4,19698303
Aurangabad,1516,1,1,12,9446280
Solapur,3587,3,3,9,20701302
Pune,1571,3,4,7,15591670
Mumbai,2406,3,2,12,36259500
Thane,3327,1,2,29,38907584
Aurangabad,3017,2,1,30,18642503
Solapur,1127,4,5,19,7255312
Kolhapur,3375,5,5,24,21543114
Nagpur,3620,2,3,24,21685378
Mumbai,2652,4,5,22,40487279
Mumbai,2810,1,1,26,40182125
Nagpur,2845,5,4,5,18032778
Solapur,976,2,3,18,5899186
Mumbai,2590,4,3,14,39304176
Kolhapur,2371,5,4,17,15504399
Thane,3462,1,1,8,40720980
Nagpur,2868,1,1,13,16897932
Mumbai,2716,1,1,29,38699301
Pune,1675,4,3,24,16429502
Kolhapur,2033,4,4,27,13070656
Kolhapur,828,5,4,20,6175771
Mumbai,1231,5,5,16,20792066
Nagpur,3919,1,1,9,23162397
Kolhapur,2678,4,3,7,17155340
Aurangabad,1135,3,2,29,7677996
Mumbai,631,4,5,24,11339502
Nagpur,1344,1,1,19,7738503
Solapur,2948,1,1,23,16115142
Kolhapur,2297,2,3,6,14584775
Pune,1073,5,5,7,12250825
Aurangabad,2865,5,5,26,18951495
Nagpur,1736,2,3,16,10575490
Kolhapur,1730,3,2,17,11095003
Nashik,3064,4,5,15,21015580
Aurangabad,3135,4,5,10,20806191
Kolhapur,2172,2,2,12,13363365
Solapur,1487,2,2,27,8637399
Nashik,3800,4,3,17,25761361
Kolhapur,2782,5,4,12,17916087
Thane,1332,3,4,2,17636217
Aurangabad,878,5,5,26,6613517
Pune,1599,4,5,19,16368003
Pune,798,2,3,23,8050832
Nagpur,2463,2,2,9,14725089
Nagpur,1278,1,2,24,7608392
Nagpur,3349,5,5,6,21093599
Nagpur,2761,3,3,12,16979299
Aurangabad,1763,3,3,16,11716741
Solapur,903,4,4,29,5715822
Aurangabad,1781,4,3,18,11892186
Nashik,566,3,4,29,4500200
Kolhapur,1709,2,1,10,10554416
Kolhapur,2833,2,2,17,17493943
Aurangabad,1554,4,5,20,10923710
Solapur,2387,2,3,25,13534066
Nashik,1073,5,5,5,8733735
Pune,2646,1,1,30,24088937
Pune,3630,1,1,4,33569669
Nagpur,778,2,1,6,5075449
Solapur,2028,1,2,20,11481771
Solapur,3200,4,3,0,18864032
Kolhapur,548,1,2,23,3317683
